"Sentiment","text"
"negative","dont like how aaron doesnt have a phone. i cant tell him to come over now "
"negative","@LisaNoelRuocco liiiiisaaaaaa you need to tweet more. stop being on holiday!  haha"
"negative","Saturday and in my house "
"negative","is in route 2 da' beach! No sun yet "
"negative","@nikkibender im so poor. Decided im getting a bikni anyway, i like this Jets one, it will be like $200 all up though. Sooo poor "
"negative","haha OH and i told my mom about kyle's idiocy .. &quot;i'm sorry  but whatever, you are way cuter than he is anyway&quot; hahaha i love colleen"
"negative","God bless the Hermosillo Day Care center children "
"negative","@pixiepea @KoehlerBear @tomwitcomb silly silly drunky mcstumbles suffering for being a twat on a schoolnight. no sympathy deserved "
"negative","Just found out NIck Jonas is single I have a chance. Not i live in Australia "
"negative","@chrisMibacache ye i figured i shld study lol lots of ppl leave projects till the last mintue..like me! lol being sick isnt fun at all! "
"negative","bug bites on me everywhere!!!!! "
"negative","@itsjmaine aw alright  well we should hang out this week!"
"negative","only ten days left..whaaa? "
"negative","i want to go to singapore but my mother seems not "
"negative","I am doing projects for school. "
"negative","got  in trouble at school today "
"negative","Getting up late again... "
"negative","@notjimmycarr noice! Having fun? Shevill almost done? I'm super burnt "
"negative","and i just realized that i forgot my camera "
"negative","Sorry for the tasteless post. Feeling sad. "
"negative","but instead of taking the piss people should be supportive and embrace her great voice and wish her well - this nation is so damn fickle "
"negative","my phone silencer is broken and it is oow, awesome "
"negative","End of school year is filled with excitement and sheer exhaustion. Taking 4 vac days to celebrate, but KK is sick. "
"negative","finally have a min post race... half completed in 2:10:45 I THINK! nike crapped out on me.  more l8tr"
"negative","@yazeez its good... but google chrome is better, the annoying thing about safari is the tabs and you can't reopen closed tabs "
"negative","@captainjanis Damn the man and everything he stands for! "
"negative","Friendlys even though I have no money "
"negative","is feeling very very rough this morning and has decided i can not be left alone when drunk as i do extremely stupid things "
"negative","@da_evil hur.. angry guy  "
"negative","cloudy on the longest day of the year.....grrr, that sucks!!  ....atleast there's a better week to look forward to!"
"negative","@20secondflight ya escoje el title de tu blog dawg. comi McD's  broke the diet"
"negative","@evatography My favorites were the Monster Truck fruit snacks. They stopped making them, they hate me. "
"negative","Is desperately lookin for a job "
"negative","Eff my life, my bracelet fell off "
"negative","my finger hurts  I NEED A SPIDERMAN BAND-AID AND FAST!"
"negative","there is no new daisy of love episode tonight because of the mtv movie awards "
"negative","Being woken up at 6 isnt very good "
"negative","I'm not feeling good today. My tummy's been aching since yesterday. Maybe it's saying I need a better paying job. "
"negative","@veganbakesale we are in the same boat!  no pun intended. FUCK THIS MOVIE"
"negative","@IdleThumbs Yikes. I hope that won't jeopardize the PC version since that's the one I want. Still pretty disappointing. "
"negative","wishes she had a digicam.  http://plurk.com/p/xt5w9"
"negative","hope everyone is having a brill may bank holiday weekend, looks like a nice day outside....bbq anyone! i know my fam r havin 1 later "
"negative","Tooth hurts "
"negative","@lcarmell21 i wanna go to pinnacle!!!! ive never been "
"negative","chatting and hoping that this guy would stop writing to me "
"negative","another day of boring school tomorrow "
"negative","going to play xbox even tho its a real nice day out side but yet again not doing anything "
"negative","I don't ever want to be that hungover again "
"negative","@Iamsugarbabe where r u babe? I'm otw to other meeting "
"negative","@PatsyTravers your life seems so awesome!  lol x"
"negative","Help! Need to switch to cheery Neal! Shoulder aches, back at work, GORGEOUS day outside, I'm in office untill 5.30. "
"negative","Some people are meant to be spontaneous.  I am not one of them.  Spontaneous from me equals spazz.  "
"negative","@SolematesChi really, they have a spam reducer on there, it catches mine... but y'all probably get WAY more traffic than I do "
"negative","i keep bitting my lip  its bleeding"
"negative","on my way to work "
"negative","Uhhh why am I still up...My neighbor jus turned her music off...So annoyed jus want to go to sleep "
"negative","found none "
"negative","Why do i always find the wrong soul mate?.. Hmm If they are wrong.. they were not my soulmate "
"negative","School again...so damn bored i wanna go Home now "
"negative","Just got back home. I watched Terminator.  It was okay.. Hahaha. Nuggets are out.. "
"negative","just had a lovely walk with my dog. now, to work "
"negative","@arleach oh and dang it we were gonna do lunch  soon tho !"
"negative","working!   I am so ready to go."
"negative","@AgentMan1 the unsuals got cancelled too "
"negative","i'm icing the knee i fell on.  it hurts like hell.  didn't the entire night, until now.  ugh.  FUCK.  owwwww.  "
"negative","I miss my twin "
"negative","is waiting 2 board her flight 2 LA....goodbye 2 the beautiful taryn...im such a wuss i cryed so much  Me loves ya lots &amp; il call u wen ..."
"negative","I am sitting in the bathroom of my work cause I don't feel like working. I hate work. I could be doing other things. "
"negative","@paulpuddifoot to taekwondo? Just me and my dad and the instructor of course "
"negative","@mrspotter thanks for deleting me from your myspace friends.  ouch."
"negative","except Crowbee Died  and mike brought back the cat to auto repair shop wher he hid in the car at."
"negative","i hate math. hate hate hate hate. math "
"negative","i feel like ice-tea. i drank mine all "
"negative","@robday I am so jealous you get your own space, I have nothing "
"negative","owww...my tootsies hurt. nobody here to give me a foot rub "
"negative","BORED!!! going to watch some Torchwood tonight me thinks, relax before maths exam tomorrow   X"
"negative","just got home. vacation is over "
"negative","@brewstermax I would love to. But I think copyrights of Twitter and Apple would shut me down. "
"negative","has the apartment to herself and nothing to do. Boo "
"negative","says that you will seldom see him online.  http://plurk.com/p/114mmh"
"negative","Ye gods that Mclaren looks like a dog today "
"negative","@xjoannnx: but joan poor animals get totured  i don't like it."
"negative","Adi�s #euroko!We have to get on board of that plane  Sad to leave that early!Thx for the great weekend and see you next year!"
"negative","@Qso Hey thanks! Currently working on a fix, so next week will be an uber-relaunch of Astroengine Live, just really frustrating "
"negative","@PsychoBitchPB Oh noes!!! Twitter'less cellphone is fail!  http://tinyurl.com/rdo2ca"
"negative","just had a filling steamboat dinnerl! cant get the taste of mussels out of my mouth! craving for something sweet!  - http://tweet.sg"
"negative","my supercomputer is messed up "
"negative","@DollFace520 from H&amp;M! do u know it? u r sooo luckyyy! i wanna go to swim too!!!!!!!  im hungry and its too hot!"
"negative","i dont wanna move from my bed "
"negative","Footy's over, back to work "
"negative","Repeated wakings from dreams of bugs crawling on my face and arms and not being able to yoga properly may make for a long tiring day "
"negative","Hanging out with @Humetewow and her grandparents makes me miss my grandma and papa more than usual...  But it was FUN"
"negative","It's a rainy May Day "
"negative","i miss my sis @meeny7  sameen come see me asap please ... side note im listening to sammie circa 1999 and im not even embarassed"
"negative","@frankinguyen i use it.. been using it for a while - but I'm having trouble sharing wif my colleagues   and printing is a pain"
"negative","feet hurt  cambridge sucks"
"negative","@Samara_B It's statistically the happiest day of the year - unless you're having a bad hair day like me! "
"negative","My phone is not working  hoping Ken is at work and can hook me up."
"negative","first fathers day without my fajah..  but it is the first official day of  summer, so spring showers go away"
"negative","@str1fe Neh, boy doesn't like salad  so we never pick up salad stuff~"
"negative","The past is very hard to forget "
"negative","@Medbie They moved it up   I think they thought I was getting ready to bolt...Next Thursday (25th). Rearranged a prior chemo appt."
"negative","I dont want to leave our hotel "
"negative","Relaxing after #f1, good 2 c Lewis entertaining fans with doughnut at end, gr8 guy. 3 wk wait 4 next gp "
"negative","@Natorii Ew - I had a &quot;2 week&quot; bathroom project turn in to a 6 month project. Was not fun losing all the sleep "
"negative","bed early.... or call of duty.... hmmm tough call.... Last day of co-op tomorrow....  sadface tear....."
"negative","@asnarehman22 thanks dude  @shaikhafifah i'm gonna cough in your food this weekend"
"negative","just woke up tomorrow i'm leavin flordia "
"negative","@skyejaden  Here- Rafa wants you to hug him: http://www.postimage.org/][img]http://www.postimage.org/Pq1igQS0.gif"
"negative","@MISTERMORALES Steve, thnx 4 yr DM! thanks so much, twitter won't let me dm u back tho bc yr not following me it sez...bummer "
"negative","@daibarnes and guess who's landed that plum job? Moi  were hosting big conf on July 1st and sen dep head wants them for then "
"negative","@rove1974 so dissapointed that your show wasn't on in nz last night  will have to watch rove daily"
"negative","@AaliyahLove69 Sorry to hear you had some glitches again tonight  heading home for the 20th?"
"negative","getting ready to watch mtv movie awards.... 2 hours to go... "
"negative","@torriRAWR science, trim didn't set it either "
"negative","How can that #xboxe3 be so awesome and the rest of MS still un-support awesome stuff like HTML5, CSS3/Acid? "
"negative","WTF. Can't watch WHALE WARS anymore, thought the idea was to NOT see whales die  going to hook up my wii.."
"negative","and a little bored "
"negative","@georgecarballo: excuse me what are you saying ? "
"negative","Wasted a entire day yesterday. Back to work today. I think I am getting to old to party after bedtime. "
"negative","Atl going to Australia makes me miss last summer so much, I love Australia I want to go back so badly "
"negative","Go figure, my first real day of summer and I'm sick "
"negative","@jzahner I know me too... Now I have to accumulate vacation and fight people for the good days "
"negative","why does the sun shine on a weekend? - the beach will be crawling with people  - i want a sunny weekday when kiddies are in school"
"negative","Mourning the end of Spring Break.....I don't wanna go back "
"negative","what happened??  haha"
"negative","HTTP is currently down on the server  looking into it"
"negative","oh no Fisichella #F1, not again "
"negative","... #andnav US server is back! seems that it was a provider problem "
"negative","I'm guilty. I like Kiss Me Thru the phone. "
"negative","@pbennett66 work is pretty much dead now. had no night shift yesterday or today. q&amp;a were told to come back on tuesday instead of monday "
"negative","My phone broke so now i'm using my backup "
"negative","I really wish my icon worked "
"negative","TGIF! ... Where did the hot weather go? "
"negative","The rise and fall of Shalamar on &quot;Unsung.&quot; Damn. Wish I didn't have to work tonight  Bad enough I missed the one on DeBarge."
"negative","Ugh im starting to wonder how Im going to keep up w/ OLTL in California when I dont have a computer to watch clips "
"negative","@jeffonplj argh..I wish I could call but it won't work..   Plse could  play Heart on My Sleeve"
"negative","@ceabs yummy! I haven't been there forever.. Brad doesn't like them.  "
"negative","So jessie is making his movie and i wont be in it cuz i moved "
"negative","THAT one was awesome! I'm awake and I don't know why. "
"negative","Feeling like absolute shit, i've got some kind of virus. I'm skipping first tomorrow to sleep in, then doing two tests "
"negative","is feeling rough as an old dog after not sleeping much and having a honking cold "
"negative","@SamitSarkar uggghhhh I hate my low tech theater  glad you liked it though"
"negative","So long sweet summer "
"negative","Now I'm waiting on my credit check "
"negative","@fibbest it's no where near over for me "
"negative","#140mafia grates extremely on my nerves!  #spam #dump"
"negative","@EADave aww what happened "
"negative","Sick . . . Dont feel good @ all  what else could go wrong 2day"
"negative","is tired "
"negative","http://twitpic.com/6p5st - #CantonFirstFri They have bands in our street so they couldn't have the hoses come down it. "
"negative","Ate too much last night... "
"negative","A little early for me!! But headin to holllllllywooood! For a tour hahaaa muahaha I have puffy eyes from marley n me "
"negative","First ever in the world to try food at @FuegoMundo!!  @sbeckham will get a burger  http://twitpic.com/6ccn9"
"negative","@abram110 were do you live? i know .....rain  =  "
"negative","@stephmccall but I felt like I had to the voices in my head told me too "
"negative","anyone know where i could possibly get a last minute ticket to Roller Kingdom Kegger???? I really want to go!! "
"negative","I'm pretty sure I just scratched the cornea of my left eye "
"negative","@BeaWise  Boo. *gives you a bottle of feel-better*"
"negative","grr power stations "
"negative","I'm going to run away from home... I'm planing my escape now! Can't wait to try it! (third atempt)  for some reason I always get cought "
"negative","instead of tanning i got burnt to a fucking CRISP. i'm now a lobster. "
"negative","@Rhi1806 who arranged film trip? and what are they seeing?  not sure"
"negative","@travisrail i may or may not have left my phone in your car on accident, sorry "
"negative","disappointed she didn't win teh glassez. "
"negative","@Mykey_12 I'll try! But by the time I'm back, Jamaica'll be waiting for you "
"negative","Goin to lay down... My head hurts "
"negative","@Dannymcfly IM SO JELOUS OF YOU AND THEM "
"negative","Still sick, stupid flu, supposed to start work tomorrow, hopefully I'll be better! "
"negative","Ozzie looks good.  Wow. I can't believe that he's been retired for 12 years.  I miss the Wiz."
"negative","Cant fall asleep. "
"negative","Work is dragging  roll on half five!"
"negative","Cnt believe its raining after Blk the nice weather we had  Xx"
"negative","I just got my new glasses. #1 I look awesome  . #2 They are extremely light  #3 They seem to be way to dark even indoors "
"negative","Awful news about Exene, diagnosed with MS.   http://tinyurl.com/pv7o5g   @xtheband"
"negative","is not feeling well "
"negative","@marcynewman "
"negative","@91X Pleasee i need tickets i've been calling since friday and nothinngg pleasee!!!! i just want to see PATD "
"negative","revising for science exams on monday "
"negative","family stuff tonight  wishing i was barhopping with @gbaby24 &amp; cash of course lol"
"negative","Loving twitterberry! Not loving melbourne trains and going back to work "
"negative","bored!! and getting a bus to work at 7am in the morning "
"negative","crew still setting up for the next scene. air con switched off cos of noise "
"negative","rain when you want to barbecue is pretty bad ... "
"negative","Still cleaning  it's taking So long &lt;Scottie.b&gt;"
"negative","Tomorrow is a busy day! Going to get my books for college, get a parking spot, clean out pool, car, and bedroom!!! Then WORK!!! "
"negative","@carrielinn83: @ashleej47 the fucking llamas were hiding at the zoo  Because they were doin' it!"
"negative","@SweetSandz nooo babbyyy, lol I fell asleeep lol u noe I have wrk in da am. Unfroutnlty "
"negative","@tandeanne How would i know  I knew it'll be scary but didn't know the face will appear plus the noiseeee."
"negative","saw the cutest large format kodak cameras today. So expensive. Prolly because they actually work. "
"negative","Diet cokes bad enough...diet rola cola is just shocking "
"negative","@Sashii3 @ChanzVibeZ awwwh you girls broke my heart  || :'(  Anyways I enjoyed your tweets  Thnxx !"
"negative","is sick  BOO HOO... what else is there to do on this twitter; any suggestions?"
"negative","wish me luck got an interview for my results.. can't believe College is almost over "
"negative","i'm in so much pain, and ibuprofen has just been making me feel sick. "
"negative","My ass is so cold. "
"negative","@saurik I get this error every time i try to install an app, http://i41.tinypic.com/10wr69g.jpg what should i do "
"negative","Getting ready for a busy Monday. I hope I don't daydream in our long meeting. Weekend is really too short "
"negative","@robblps we have no where else to stay "
"negative","@trustlove92 oh god. You almost got kidnapped "
"negative","@laurennnyo i got some but likeeee. not many LOL and my brother hid his camera so i only took my phone "
"negative","misssin home  davidddd i miss youuuu"
"negative","@meryreino For june &amp; the middle of july. Shes coming back right after her 16th bday  So either b4 or after she returns we will celebrate."
"negative","fuck you, fuck you very very much. haha i &lt;3 @lilyroseallen so sad i missed her san diego show "
"negative","Urgh...eaten too much "
"negative"," 2morrow last day of skool! i'm gonna miss everyone thats leaving and specially you mel mel! bye bye! good night twitters!! &lt;3"
"negative","today seemed like it should be Wednesday "
"negative","Uriah Favre lost  Broken right hand and still finished the fucken fight!! He's a freakin awesome fighter!"
"negative","Don't see anything on news about it yet. Hopefully it's just a Precaution. On a sep note this train smells of urine "
"negative","@LuciaGirardi Thinking poor Billy, gets used to having you around 24/7 then  will have to get used to not "
"negative","@ the club. Hottest girls here!! Lol. Wont let me upload pics  U believe me right??"
"negative","I don't feel in the mood to do anything today   I just want to play House Of The Dead: Overkill and fail at life."
"negative","Sat at monument. Wish i had my shorts on... wasn't allowed to wear them for work earlier "
"negative","OMG i luv Ray........but he has a girl  "
"negative","I have an awful headache "
"negative","um im ubber confused, &amp; yes it's over a boy  grrr! lol anywho, im super excited cuz this is my last FULL SCHOOL WEEK! =S"
"negative","@Anime81 OOC That's an awesome good night! ::laughs:: And I'm down to 98 followers again.  Maybe tomorrow. Night baby! xoxo"
"negative","Wedding makeup to do this morning. Thunder &amp; pouring rain - not a great day for the bride. "
"negative","just got up and gettin ready for work  hope its sunny later on lol"
"negative","@tasteofyourlips r ur status's 4 grandpa? i miss it when he said okie dokie "
"negative","Just realized I missed out on Gangplank at Next today.  @iboughtamac That's still going happening on Thursdays in the West Valley right?"
"negative","@mila0526 what happen chica??????? "
"negative","thanks em &amp; omg i just watched marley &amp; me &amp; im still crying "
"negative","is laying on the couch 24/7 and hating every minute of it! "
"negative","@Parcells I don't go to catholic church  but ur welcome to come to lucnh I hit u up earlier its taking u this long to respond lol"
"negative","my back hurts "
"negative","David! I really wanna see you but so impossible! huhu "
"negative","Just gave CSU a whole lot of $$$  (via @C_Sandiego)&lt;&lt;&lt; I'm glad my money giving days are over .."
"negative","@JoshFittell no  its ridiculous i'm clearly her biggest fan"
"negative","I hate when books make me cry "
"negative","Bored, bored, bored! Missing the Mr "
"negative","Working at a restaurant on an empty stomach "
"negative","sitting in class...so tired from a long day of working at orientation. "
"negative","My mom wants to bring the kittens to a shelter. "
"negative","there wan't enough lunch in my lunch box "
"negative","omg I'm starting to get tired of this transition to natural "
"negative","@janettesayssike ohh dang  i'd go insane without clothes"
"negative","I can't figure out what to wear!!! "
"negative","I wanna stay in bed all day today! ... But i won't "
"negative","But it's also making me miss swimming really bad.  I wish our pool was fixed, I'd have no problem exercising if it meant swimming."
"negative","@geekgirl444 That too, Heroes is about 4 weeks ahead, Prison Break was too, but they;re all finished until autumn "
"negative","Is chillin on a Sunday night. Is the weekend really almost over. "
"negative","@Art_Deco_Dame exactly. and yet people with the most boring, generic, impersonal tweets seem to have thousands of followers wtf?! "
"negative","Got an email which subject says: Palm Pre phone now available. I can only drool in response "
"negative","Baby inconsolable. Not sure if it's gas, teeth, extreme tired, or sore throat like big brother. "
"negative","awake  spanish test to make up this morning."
"negative","@TheMegatronDon I'd tell you, but only if u let me in th stream "
"negative","to doente "
"negative","good morning twitter...on my way to the courthouse "
"negative",".@Harkaway  LOL - Pitiful lack of milk means no smoothie  for me  but Just downed some carrot, apple &amp; ginger goodness"
"negative","Waiting for the train so i can carry my ass home. I miss my bed.   &lt;HoUsE Of CaSsIdY&gt;"
"negative","@Bwoe I wish I was going "
"negative","@bethmillar @craigramsden It iz teh Sundayz, why r u leaving for works "
"negative","@eclewis awesome thanks!!!, i work at comcast i can try some singals to your cable box, but it just sounds like a bad one "
"negative","just got home soo tiredd.... missin you nikki "
"negative","@SarahG8s hmmm my rents are sneeky they will check up on me lol,plus they know i havent cause ibeen ill "
"negative","@YoungQ Oh no! I hope u get it back soon  Hope u have all ur packs of new underwear wit u! lol"
"negative","Photo: No Kenny Ortega for HSM4  Bad Times http://tumblr.com/xsb1xb50p"
"negative","@TizzySizzleberg  Hey sweetie. I hate I didn't get to see you.  I know you had an amazing time though"
"negative","@Buzznet probably won't appreciate my opinions on that survey for the new Beta photo pages. Pretty much hated them. "
"negative","i miss my bff girls  damn.."
"negative","@jezzahezza  am obviously not balling on ur level then  nice garden tho!"
"negative","Working wayyyyyy too much... "
"negative","Food network "
"negative","Great. The power is off. And I have wet hair that needs to be dried before date night with the boy.  http://tumblr.com/xcl1yxqtd"
"negative","Chillin with a few cool kids at the Butler's. I miss my man. "
"negative","@arnorian Well, they're $30k a pop "
"negative","Matt living the dream, and hating every second of it....  http://yfrog.com/5g7jmmj"
"negative","...very boring "
"negative","Just got up getting ready for church...my son is really cranky this morning!!! "
"negative","Now I got my iPhone, anyone know a good Japanese learning app? Seen a couple but wondering if anyone has used any, time for sleep now "
"negative","Hope I get a better sleep tonight silly morons doing skids out front last night "
"negative","@subtle__sarcasm om nom nom nom. I'd eat sth, but I hate eating when I've already brushed my teeth "
"negative","I realize that Selena won't come between them if she knows Demi is happy..but come on Sel...look out for her "
"negative","@ykitalovestila he's not going to hit me or anything like but he's going to make me feel really really guilty "
"negative","@JaneBelinda aww thank you, but it doesn't stop my bottom half being at least a size bigger than the top "
"negative","My bed is super comfy... Wish I was wit my babe tho...  I'm hittin the sack, gotta b up early...."
"negative","Sometimes we expect more from others because we would be willing to do that much for them. Off to learn for my bio test on Monday "
"negative","Why does the weekend always get followed by a bloody workday "
"negative","I'm soo tired! I didn't sleep for shit last night. "
"negative","Heading to Bodean's, but I think I've eaten too many wesabi nuts to truly enjoy the meat feast that is to come "
"negative","Wants to watch transformers 2 "
"negative","is missing the Cyprus sun "
"negative","@ddlovato  bless you. its tough. but everyone experiences heart break and you will pull through again, like you did before. be strong x"
"negative","@LadyRiposter His name is Jackson and he cried all night  I'm not sure what to try tonight."
"negative","fml.. it's soo hot and there's no AC in this stupid north tower. "
"negative","memorizing the script for my coming presentation. "
"negative","@beach03me poor Aiden "
"negative","@Elleonora yea, not many people have this "
"negative","@HipHopUpdate You mean, Drake's first single is NOT gonna feature the St. Lunatics? "
"negative","RIP Farrah Fawcett  You were one classy lady."
"negative","dropped my son for his first day at school...he was crying "
"negative","@lilmissdainty sum girls dun like it... "
"negative","up this early on a Saturday  getting car services  possibility of a McDonalds breakfasy "
"negative","@billbeckett That's kind of near me in a way. Sweden. "
"negative","Am about to head to Oxford to church.  YEA!!!  Hate I will miss @polsgrove preaching today "
"negative","Man I just wana staying in bed "
"negative","@nerdopedia I'm gonna miss you on Monday... "
"negative","launching new myspace - www.myspace.com/silentpartnerrecords, we've been locked out of our old one! "
"negative","@xlovesconsx I know that. But I don't want to waaaaaaaaaaaait "
"negative","Waiting for the bus is boring "
"negative","wishes guys would stop playing her like an old strung out violin. also, going back to ithaca regrettably. back to that "
"negative","hate InDesign. but I have to work. "
"negative","going to art then going home woooo! josh isnt here  loner here i come"
"negative","@natashayi Damn right "
"negative","awesome the great outdoors is on tbs i wish i didnt have to go to work soon "
"negative","so sad... me 2 guy friends got suspened for the last 2 weeks of school!  I will miss u guys! But maybe I will c them over summer!"
"negative","listening to Cassie Steele ... How Much For Happy .... rainy days "
"negative","Im staying home sick for the first time this school year.... "
"negative","was out for most of the day due to a family emergency.  now, karma is down again. http://plurk.com/p/11b4q9"
"negative","@pauljbarriejr cool Paul!  No DL for me this trip - just training for work "
"negative","i miss my baby vuey "
"negative","jus got back from ma uncles soaked  n now im cold"
"negative","not feeling well "
"negative","@bulamoon I can't go tonight.    Having a playdate for the pups instead!  Are you going?"
"negative","Where did the sun go!!!! "
"negative","@calinbleu &quot;compulsory #vaccination&quot; OMG   Bring on the Home Ed!"
"negative","Just washed my iPhone. "
"negative","@FashionAddictx3 soooooo true, PETA is really good! Everybody's dissing PETA "
"negative","@zinedistro video doesn't work  #squarespace"
"negative","I tripped going down my stairs And my mom started laughing "
"negative","is tired, sore and VERY hungry -.-  ;'("
"negative","@mccatfly awww whyy? "
"negative","Really disappointed with dinner,the pasta is nasty.Feel all sulky now,and so not in the mood to work but I have to to get it in on time. "
"negative","@amandahaneline0 Hi can u plz tell @StewartKris to add me? I try to tell her on her old acocunt but she never answered me "
"negative","I really wanna listen to some taylor swift right now. But all my cds are in my car at my parents house, since i borrowed moms car. "
"negative","Woke up.  Cuanto Te Xtrano"
"negative","Choking is a bad idea. UGH. "
"negative","@kencarr Just wondering about that!  I miss payday "
"negative","Attempting to sleep, alone. Yay "
"negative","at work its lame my co-worker isnt here  so im stuck bored as fuck!"
"negative","@AlanCarr I dunno but mines eyes fell out  but its still living"
"negative","actually gettin braces on july 6th "
"negative","the suns gone in "
"negative","Weekend at office "
"negative","making end of the year photo albums for teachers...one is going back to Colombia soon "
"negative","@cvgurau Can't say too much about it (Disney doesn't release any BDs in South America, And the copy I saw at the theatre was a bit grainy "
"negative","@riotradio : Huhu. Get well soon, Dear. Take a med if it gets worse  *twugs*"
"negative","@dame_wilbur  *hugs*"
"negative","Missin him  ugh...rough week...I think I need to poop."
"negative","Vegas at 8:00am! A little bummed gonna miss bobo "
"negative","i did HORRIBLE. i ate 12 hot dogs  in my worst performance ever including training. that won't happen again . EVER"
"negative","My ears are still ringing from last night "
"negative","Been kinda sad. Thinking of my very, very, very, very big dreams. Thinking it's impossible to happen "
"negative","Was going to go golfing today... rain.  Now I am just going to clean my room and study biology. Inclimate weather sucks."
"negative","Rain again?! "
"negative","emergency room "
"negative","4 days till mid-terms. YIPEE!!! not. "
"negative","I really need to figure out how to approach attractive women in public "
"negative","@hacknslash yes sadly it is "
"negative","No no no. Back is playing up again. Thankfully have some hardcore painkillers left over from last time. Must organise osteo visit "
"negative","@aimeemcn I hate that you're watching Peter Pan for legitimate academic reasons  ENVY"
"negative","Feels Really Mean on Him  and is sorry"
"negative","Oh... so that's why everyone is talking about #David Carradine ... That sucks  At least we still have Robert Carradine, am I right?"
"negative","Why can't it be sunny out??  This weather is torture. "
"negative","http://bit.ly/6PfPk via @addthis this was my friends daughter  omg shocked horrified"
"negative","@DonnieWahlberg AWW I WISH I WAS THERE "
"negative","Im done clearing out and now my mom wants me to get a job "
"negative","work sucks "
"negative","Yesterday I got hit and then today femaleness decided to show me just how much it hates me! Going to shower and then sulk "
"negative","@Soriano70 Hangover looks seriously hilarious dude!!! Q of the day hurt my head tho...  New Q... Are jellybeans and Klodikes related?"
"negative","@mileycyrus Because you dont want to leave them. "
"negative","@Ms_SMooth @The_Block_2009 @_MoJo YAY!!! Although, he woulda had it a lot sooner if I didn't suck.   Sorry Posse."
"negative","@Jordie92 Oh noes   I have a MEGA walk tomorrow too."
"negative","@Toddly00 lucky, I was up at 7:30am "
"negative","Dangit!! All these AMAZING bands are in Seattle now. Why Seattle? Because SC sucks... "
"negative","@LDNfashion no shorts here  have been cycling in shorts to the office then changing. 2 outfits better than 1"
"negative","I didn't realize it but I scraped my foot pretty bad at the pool. Its bleeding pretty bad  grumble #fail"
"negative","just tried talking........voice died before end of sentence! Annpyimg thing id, i feel fine!! Another day of not playing the hits "
"negative","@FrankieTheSats why whats wrong with him?!  Xx"
"negative","@lafilzerrr iya makanya  cims ga lengkap pyaah. oh ya he's leaving on thurs, so he won't come to gala dinner as well"
